_key,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,divisão,discount,ccu,,,
44100,44100,Super Laser  Racer,New Star Games Ltd,New Star Games Ltd,,82,12,0,"20,000 .. 50,000",20,0,30,0,499,499,"4,99",0,0,,,
44350,44350,GRID 2,Codemasters Racing,Codemasters,,23870,4620,0,"5,000,000 .. 10,000,000",478,72,165,72,0,0,0,0,128,,,
44360,44360,F1 2011,Codemasters Birmingham,Codemasters,,525,175,0,"50,000 .. 100,000",542,0,771,0,0,0,0,0,5,,,
44600,44600,GTR - FIA GT Racing Game,SimBin Studios AB,SimBin,,67,36,0,"20,000 .. 50,000",2,0,2,0,699,699,"6,99",0,0,,,
44680,44680,RACE Injection,SimBin Studios AB,"RaceRoom Entertainment AG, SimBin",,14,1,0,"0 .. 20,000",1,0,1,0,1299,1299,"12,99",0,0,,,
44690,44690,GT Legends,SimBin Studios AB,SimBin,,256,29,0,"50,000 .. 100,000",3,0,2,0,799,799,"7,99",0,0,,,
45410,45410,Ignite,Nemesys Games,Nemesys Games,,166,124,0,"20,000 .. 50,000",33,0,33,0,999,999,"9,99",0,0,,,
46200,46200,A.I.M. Racing,SkyRiver Studios,Fulqrum Publishing,,65,35,0,"20,000 .. 50,000",0,0,0,0,299,299,"2,99",0,0,,,
46370,46370,Rig n Roll,SoftLab-NSK,Fulqrum Publishing,,269,207,0,"50,000 .. 100,000",47,0,82,0,499,499,"4,99",0,2,,,
46520,46520,Wasteland Angel,"Octane Games, Meridian4",Meridian4,,176,128,0,"50,000 .. 100,000",23,0,29,0,124,499,"4,99",75,0,,,
47870,47870,Need For Speed: Hot Pursuit,Criterion Games,Electronic Arts,,16046,3451,0,"2,000,000 .. 5,000,000",563,0,167,0,0,0,0,0,66,,,
47920,47920,Shift 2 Unleashed,Slightly Mad Studios,Electronic Arts,,1611,788,0,"100,000 .. 200,000",263,0,328,0,0,0,0,0,9,,,
50000,50000,Nimbus,Noumenon Games,Noumenon Games,,216,12,0,"50,000 .. 100,000",26,0,37,0,999,999,"9,99",0,1,,,
55140,55140,MX vs. ATV Reflex,"Double Helix Games, Rainbow Studios, THQ Nordic",THQ Nordic,,2706,432,0,"200,000 .. 500,000",259,0,123,0,1999,1999,"19,99",0,44,,,
65070,65070,Ride 'em Low,"Red Dot Games, PLAY",Libredia,,65,58,0,"20,000 .. 50,000",118,0,118,0,299,299,"2,99",0,0,,,
71230,71230,Crazy Taxi,SEGA,SEGA,,2513,423,0,"200,000 .. 500,000",75,0,17,0,799,799,"7,99",0,11,,,
71250,71250,Sonic Adventure DX,SEGA,SEGA,,9610,1096,0,"500,000 .. 1,000,000",286,25,173,25,799,799,"7,99",0,115,,,
71340,71340,Sonic Generations Collection,Devil's Details,SEGA,,17217,1310,0,"1,000,000 .. 2,000,000",455,27,100,29,1999,1999,"19,99",0,200,,,
91100,91100,SkyDrift,Digital Reality,HandyGames,,956,123,0,"100,000 .. 200,000",73,0,85,0,199,999,"9,99",80,0,,,
91900,91900,Post Apocalyptic Mayhem,Steel Monkeys,Next Dimension Game Adventures Ltd.,,1252,234,0,"100,000 .. 200,000",180,0,137,0,999,999,"9,99",0,0,,,
92100,92100,DETOUR,"Geoff 'Zag' Keene, Richard Keene",Geoff 'Zag' Keene,,1107,683,0,"200,000 .. 500,000",142,0,144,0,199,199,"1,99",0,2,,,
96100,96100,Defy Gravity Extended,Paul Fisch,Fish Factory Games,,7421,1204,0,"1,000,000 .. 2,000,000",148,0,129,0,113,199,"1,99",43,7,,,
99300,99300,Renegade Ops,Avalanche Studios,SEGA,,2149,372,0,"500,000 .. 1,000,000",211,0,241,0,1500,1500,15,0,3,,,
104200,104200,BEEP,Big Fat Alien,Big Fat Alien,,3961,713,0,"500,000 .. 1,000,000",155,0,150,0,199,199,"1,99",0,1,,,
108700,108700,Death Rally,"Remedy Entertainment, Mountain Sheep, Cornfox &amp; Brothers",Remedy Entertainment,,487,198,0,"50,000 .. 100,000",129,0,166,0,999,999,"9,99",0,1,,,
110400,110400,inMomentum,Digital Arrow,White Rabbit Interactive,,127,48,0,"50,000 .. 100,000",96,0,160,0,999,999,"9,99",0,0,,,
111100,111100,Snuggle Truck,Owlchemy Labs,Owlchemy Labs,,372,84,0,"50,000 .. 100,000",168,0,249,0,499,499,"4,99",0,1,,,
111300,111300,Smash Cars,Creat Studios Inc,Pom Pom Games,,27,13,0,"0 .. 20,000",0,0,0,0,999,999,"9,99",0,0,,,
113400,113400,APB Reloaded,Reloaded Productions,Little Orbit,,22765,13034,0,"5,000,000 .. 10,000,000",3498,0,196,0,0,0,0,0,257,,,
116100,116100,Super Toy Cars,Eclipse Games,Eclipse Games,,217,162,0,"20,000 .. 50,000",95,0,122,0,999,999,"9,99",0,1,,,
200230,200230,Off-Road Drive,1C-Avalon,Fulqrum Publishing,,375,218,0,"50,000 .. 100,000",62,0,77,0,499,499,"4,99",0,2,,,
201510,201510,Flatout 3: Chaos & Destruction,Team 6 Studios,Strategy First,,500,2642,0,"100,000 .. 200,000",109,0,30,0,99,999,"9,99",90,1,,,
202170,202170,Sleeping Dogs,United Front Games,Square Enix,,15741,922,0,"2,000,000 .. 5,000,000",1361,0,539,0,0,0,0,0,36,,,
202310,202310,Ridge Racer Unbounded,BUGBEAR,BANDAI NAMCO Entertainment,,773,533,0,"100,000 .. 200,000",156,0,193,0,999,999,"9,99",0,1,,,
203680,203680,F1 RACE STARS,Codemasters,"Codemasters, Electronic Arts",,1405,394,0,"500,000 .. 1,000,000",192,0,117,0,0,0,0,0,8,,,
204180,204180,Waveform,Eden Industries,Eden Industries,,1781,363,0,"200,000 .. 500,000",146,0,147,0,199,199,"1,99",0,1,,,
