_key,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
234270,234270,Ken Follett's The Pillars of the Earth,Daedalic Entertainment,Daedalic Entertainment,,4621,339,0,"200,000 .. 500,000",179,23,139,23,199,"19,99",1999,90,21,,
237890,237890,Agarest: Generations of War,Idea Factory,Ghostlight LTD,,1295,513,0,"100,000 .. 200,000",229,0,260,0,1499,"14,99",1499,0,17,,
239700,239700,Hate Plus,Love Conquers All Games,Love Conquers All Games,,481,90,0,"50,000 .. 100,000",108,0,166,0,499,"9,99",999,50,0,,
248800,248800,Dysfunctional Systems: Learning to Manage Chaos,Dischan Media,Dischan Media,,603,190,0,"50,000 .. 100,000",219,0,223,0,499,"4,99",499,0,0,,
251270,251270,Corpse Party,GrisGris,"XSEED Games, Marvelous USA, Inc.",,992,108,0,"20,000 .. 50,000",668,0,1272,0,1499,"14,99",1499,0,6,,
251870,251870,Go! Go! Nippon! ~My First Trip to Japan~,OVERDRIVE,MangaGamer,,2686,413,0,"200,000 .. 500,000",179,0,83,0,999,"9,99",999,0,3,,
251990,251990,Long Live The Queen,Hanako Games,Hanako Games,,6383,330,0,"200,000 .. 500,000",271,0,202,0,999,"9,99",999,0,18,,
252890,252890,Dracula: Love Kills,Waterlily Games,Frogwares,,181,54,0,"50,000 .. 100,000",33,0,33,0,199,"9,99",999,80,5,,
257970,257970,Loren The Amazon Princess,Winter Wolves,Winter Wolves,,454,100,0,"50,000 .. 100,000",2375,0,2375,0,1999,"19,99",1999,0,4,,
258090,258090,99 Spirits,TORaIKI,Fruitbat Factory,,230,159,0,"200,000 .. 500,000",0,0,0,0,999,"9,99",999,0,1,,
259720,259720,Fading Hearts,Sakura River Interactive,Sakura River Interactive,,127,68,0,"20,000 .. 50,000",181,0,181,0,1499,"14,99",1499,0,0,,
260130,260130,Agarest: Generations of War Zero,Idea Factory,Ghostlight LTD,,266,87,0,"50,000 .. 100,000",586,0,1127,0,1999,"19,99",1999,0,5,,
261680,261680,Journal,Locked Door Puzzle,Lupus Studios Limited,,267,75,0,"20,000 .. 50,000",251,0,251,0,999,"9,99",999,0,0,,
262300,262300,Tsukumogami,TORaIKI,Fruitbat Factory,,34,20,0,"20,000 .. 50,000",0,0,0,0,2999,"29,99",2999,0,0,,
263140,263140,Postmortem: One Must Die (Extended Cut),Unbound Creations,Unbound Creations,,72,110,0,"20,000 .. 50,000",9,0,17,0,299,"2,99",299,0,0,,
263400,263400,War of the Human Tanks,Yakiniku Banzai,Fruitbat Factory,,450,72,0,"100,000 .. 200,000",139,0,167,0,999,"9,99",999,0,0,,
264380,264380,Narcissu 1st & 2nd,stage-nana,Sekai Project,,3665,190,0,"200,000 .. 500,000",319,0,25,0,0,0,0,0,6,,
265730,265730,Frane: Dragons' Odyssey,ExeCreate Inc.,KEMCO,,6,3,0,"0 .. 20,000",0,0,0,0,1299,"12,99",1299,0,0,,
269010,269010,Science Girls,Spiky Caterpillar,Hanako Games,,105,48,0,"50,000 .. 100,000",0,0,0,0,499,"4,99",499,0,0,,
269030,269030,The Yawhg,"Damian Sommer, Emily Carroll",Damian Sommer,,1105,239,0,"50,000 .. 100,000",179,0,206,0,999,"9,99",999,0,3,,
269250,269250,WORLD END ECONOMiCA episode.01,Spicy Tails,Sekai Project,,564,101,0,"50,000 .. 100,000",107,0,107,0,1299,"12,99",1299,0,1,,
270170,270170,Depression Quest,"The Quinnspiracy, Patrick Lindsey, Isaac Schankler",The Quinnspiracy,,2290,1615,0,"200,000 .. 500,000",10,0,13,0,0,0,0,0,1,,
270490,270490,The Forest of Doom (Standalone),Tin Man Games,Tin Man Games,,221,51,0,"20,000 .. 50,000",391,0,391,0,499,"4,99",499,0,0,,
272270,272270,Torment: Tides of Numenera,inXile Entertainment,inXile Entertainment,,2735,1182,0,"200,000 .. 500,000",581,0,193,0,3499,"34,99",3499,0,21,,
274310,274310,Always Sometimes Monsters,Vagabond Dog,Vagabond Dog,,1770,602,0,"200,000 .. 500,000",373,0,161,0,999,"9,99",999,0,2,,
279440,279440,Joe Dever's Lone Wolf HD Remastered,Forge Reply srl,505 Games,,520,167,0,"50,000 .. 100,000",268,0,294,0,1499,"14,99",1499,0,2,,
279800,279800,Grim Legends 2: Song of the Dark Swan,Artifex Mundi,Artifex Mundi,,1094,41,0,"100,000 .. 200,000",339,0,394,0,999,"9,99",999,0,9,,
282900,282900,Hyperdimension Neptunia Re,Birth1,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd.","Idea Factory International, Inc., IDEA FACTORY Co., Ltd.",,10902,597,0,"200,000 .. 500,000",1076,0,782,0,"14,99",1499,1499,0,38,
284830,284830,Clockwork Tales: Of Glass and Ink,Artifex Mundi,Artifex Mundi,,956,86,0,"50,000 .. 100,000",379,0,558,0,999,"9,99",999,0,3,,
284850,284850,Grim Legends: The Forsaken Bride,Artifex Mundi,Artifex Mundi,,1323,51,0,"100,000 .. 200,000",371,0,457,0,999,"9,99",999,0,13,,
286260,286260,fault - milestone one,ALICE IN DISSONANCE,ALICE IN DISSONANCE,,2913,210,0,"200,000 .. 500,000",254,0,272,0,1499,"14,99",1499,0,3,,
287740,287740,The Witch's Yarn,Mousechief,Mousechief,,4,24,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0,,
288040,288040,Actual Sunlight,WZOGI,WZOGI,,414,137,0,"50,000 .. 100,000",296,0,296,0,499,"4,99",499,0,0,,
288220,288220,Backstage Pass,sakevisual,sakevisual,,228,29,0,"20,000 .. 50,000",0,0,0,0,2999,"29,99",2999,0,1,,
289060,289060,The Emerald Tablet,{uni},Sekai Project,,13,7,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,0,,
290990,290990,Flower Shop: Summer In Fairbrook,Winter Wolves,Winter Wolves,,84,39,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0,,
291030,291030,Always Remember Me,Winter Wolves,Winter Wolves,,161,106,0,"20,000 .. 50,000",101,0,103,0,1799,"17,99",1799,0,0,,
291050,291050,Planet Stronghold,Winter Wolves,Winter Wolves,,59,41,0,"20,000 .. 50,000",170,0,186,0,949,"18,99",1899,50,0,,
292630,292630,Uriel's Chasm,Rail Slave Games,KPL,,481,2247,0,"200,000 .. 500,000",213,0,177,0,499,"4,99",499,0,2,,
292910,292910,Deponia: The Complete Journey,Daedalic Entertainment,Daedalic Entertainment,,5041,751,0,"1,000,000 .. 2,000,000",423,187,244,187,299,"29,99",2999,90,31,,
293680,293680,Cinders,MoaCube,MoaCube,,660,98,0,"20,000 .. 50,000",0,0,0,0,1999,"19,99",1999,0,1,,
293920,293920,Spirited Heart Deluxe,Winter Wolves,Winter Wolves,,35,41,0,"0 .. 20,000",381,0,381,0,1999,"19,99",1999,0,0,,
294810,294810,BlazBlue: Continuum Shift Extend,Arc System Works,"H2 Interactive Co., Ltd.",,1304,127,0,"100,000 .. 200,000",271,0,381,0,999,"9,99",999,0,6,,
295850,295850,Vlad the Impaler,Section Studios,Section Studios,,299,108,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,,
301380,301380,Date Warp,Hanako Games,Hanako Games,,140,15,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0,,
301920,301920,War of the Human Tanks - ALTeR,Yakiniku Banzai,Fruitbat Factory,,88,5,0,"20,000 .. 50,000",0,0,0,0,1299,"12,99",1299,0,0,,
301930,301930,War of the Human Tanks - Limited Operations,Yakiniku Banzai,Fruitbat Factory,,28,3,0,"20,000 .. 50,000",0,0,0,0,999,"9,99",999,0,0,,
302290,302290,Infinite Game Works Episode 0,Sakura River Interactive,Sakura River Interactive,,6,11,0,"0 .. 20,000",0,0,0,0,1299,"12,99",1299,0,0,,
302950,302950,Heileen 1: Sail Away,Winter Wolves,Winter Wolves,,64,52,0,"20,000 .. 50,000",32,0,32,0,599,"5,99",599,0,1,,
303210,303210,The Beginner's Guide,Everything Unlimited Ltd.,Everything Unlimited Ltd.,,15838,2310,0,"200,000 .. 500,000",91,0,92,0,999,"9,99",999,0,6,,
303290,303290,OZMAFIA!!,Poni-Pachet SY,MangaGamer,,486,88,0,"20,000 .. 50,000",0,0,0,0,3499,"34,99",3499,0,9,,
303310,303310,The House in Fata Morgana,NOVECT,MangaGamer,,2517,111,0,"20,000 .. 50,000",252,0,376,0,2499,"24,99",2499,0,32,,
305480,305480,Heileen 2: The Hands Of Fate,Winter Wolves,Winter Wolves,,23,20,0,"0 .. 20,000",244,0,244,0,999,"9,99",999,0,0,,
305490,305490,Heileen 3: New Horizons,Winter Wolves,Winter Wolves,,45,26,0,"0 .. 20,000",278,0,285,0,2499,"24,99",2499,0,0,,
307050,307050,Shan Gui (山桂),Magenta Factory,Ju Cai,,1634,635,0,"50,000 .. 100,000",75,0,111,0,99,"0,99",99,0,0,,
307190,307190,Nicole,Winter Wolves,Winter Wolves,,79,36,0,"0 .. 20,000",0,0,0,0,1899,"18,99",1899,0,1,,
310080,310080,Hatoful Boyfriend,"Mediatonic, Hato Moa",Epic Games,,6366,416,0,"200,000 .. 500,000",95,0,92,0,499,"4,99",499,0,10,,
310360,310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,07th Expansion,MangaGamer,,3398,155,0,"100,000 .. 200,000",395,0,394,0,0,0,0,0,30,,
311240,311240,Zero Escape: Zero Time Dilemma,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",,2668,448,0,"500,000 .. 1,000,000",1120,0,1619,0,1999,"19,99",1999,0,48,,
311680,311680,Flower Shop: Winter In Fairbrook,Winter Wolves,Winter Wolves,,67,33,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,1,,
312790,312790,Agarest: Generations of War 2,Idea Factory,Ghostlight LTD,,138,93,0,"20,000 .. 50,000",9,0,13,0,1999,"19,99",1999,0,1,,
313020,313020,Soul Gambler,Ilex Games,Gamestorming,,2274,337,0,"100,000 .. 200,000",242,0,252,0,51,"3,99",399,87,34,,
313360,313360,The Maker's Eden,Screwy Lightbulb,Screwy Lightbulb,,83,33,0,"20,000 .. 50,000",0,0,0,0,899,"8,99",899,0,0,,
313730,313730,Sunrider: Mask of Arcadius,Love in Space,Sekai Project,,2540,198,0,"500,000 .. 1,000,000",506,0,551,0,0,0,0,0,3,,
313740,313740,Sakura Spirit,Winged Cloud,Winged Cloud,,5684,1547,0,"200,000 .. 500,000",183,0,148,0,299,"9,99",999,70,5,,
314200,314200,Bionic Heart,Winter Wolves,Winter Wolves,,82,28,0,"20,000 .. 50,000",83,0,83,0,999,"9,99",999,0,0,,
315810,315810,eden*,minori,MangaGamer,,2571,101,0,"100,000 .. 200,000",120,0,156,0,1999,"19,99",1999,0,7,,
316140,316140,Appointment With FEAR,Tin Man Games,Tin Man Games,,52,44,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0,,
316600,316600,QP Shooting - Dangerous!!,Orange_Juice,Fruitbat Factory,,446,33,0,"50,000 .. 100,000",117,0,199,0,799,"7,99",799,0,1,,
316720,316720,planetarian ~the reverie of a little planet~,VisualArts/Key,Sekai Project,,1902,49,0,"50,000 .. 100,000",4,0,6,0,999,"9,99",999,0,1,,
317280,317280,Solstice,MoaCube,MoaCube,,134,43,0,"0 .. 20,000",45,0,86,0,1999,"19,99",1999,0,0,,
317290,317290,Bionic Heart 2,Winter Wolves,Winter Wolves,,22,17,0,"20,000 .. 50,000",78,0,78,0,1499,"14,99",1499,0,0,,
317300,317300,Roommates,Winter Wolves,Winter Wolves,,160,61,0,"0 .. 20,000",217,0,332,0,2499,"24,99",2499,0,1,,
319230,319230,Gold Rush! Anniversary,Sunlight Games,Sunlight Games,,105,81,0,"50,000 .. 100,000",142,0,209,0,499,"4,99",499,0,0,,
319970,319970,The Detail,Rival Games Ltd,Rival Games Ltd,,468,173,0,"100,000 .. 200,000",93,0,136,0,299,"2,99",299,0,0,,
320090,320090,This Starry Midnight We Make,CAVYHOUSE,Carpe Fulgur LLC,,42,7,0,"0 .. 20,000",131,0,131,0,999,"9,99",999,0,0,,
320760,320760,Tokyo School Life,"M2 Co.,LTD",Dogenzaka Lab,,624,42,0,"20,000 .. 50,000",83,0,83,0,1499,"14,99",1499,0,1,,
321060,321060,Gender Bender DNA Twister Extreme,Transcendent Games,Transcendent Games,,164,49,0,"0 .. 20,000",10,0,10,0,2499,"24,99",2499,0,0,,
321190,321190,Cho Dengeki Stryker All Ages Version,OVERDRIVE,MangaGamer,,105,6,0,"0 .. 20,000",0,0,0,0,3499,"34,99",3499,0,0,,
321290,321290,Dandelion - Wishes brought to you -,"Sujin Ri, Marcos Arroyo, Seona Lee, Somi Lee, Sohyeon Jeon",Cheritz,,609,96,0,"20,000 .. 50,000",3423,0,3423,0,2999,"29,99",2999,0,4,,
321840,321840,Rising Angels: Reborn,IDHAS Studios,Sekai Project,,468,117,0,"100,000 .. 200,000",1,0,1,0,0,0,0,0,0,,
322630,322630,Mind Zero,"Acquire, Zerodiv",Aksys Games,,40,50,0,"0 .. 20,000",118,0,118,0,1999,"19,99",1999,0,0,,
323450,323450,Alphadia Genesis,EXE-CREATE,KEMCO,,98,23,0,"20,000 .. 50,000",89,0,89,0,999,"9,99",999,0,1,,
323490,323490,Oblivious Garden ~Carmina Burana,"CorypheeSoft, DigitalEZ",DigitalEZ,,493,49,0,"0 .. 20,000",637,0,1004,0,1499,"14,99",1499,0,0,,
324160,324160,CLANNAD,VisualArts/Key,Sekai Project,,6050,87,0,"100,000 .. 200,000",1470,53,985,53,4499,"44,99",4499,0,93,,
324170,324170,Pyrite Heart,Winged Cloud,Winged Cloud,,192,92,0,"0 .. 20,000",0,0,0,0,149,"4,99",499,70,0,,
324710,324710,To Be or Not To Be,Tin Man Games,Tin Man Games,,225,20,0,"0 .. 20,000",96,0,96,0,499,"4,99",499,0,1,,
325120,325120,Notch - The Innocent LunA: Eclipsed SinnerS,"Angels Blue Digital Entertainment, DigitalEZ",DigitalEZ,,572,119,0,"50,000 .. 100,000",335,0,335,0,999,"9,99",999,0,0,,
326060,326060,Starlight Drifter,Dharker Studio,Dharker Studios Ltd,,33,14,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,0,,
326480,326480,If My Heart Had Wings,MoeNovel,MoeNovel,,3967,335,0,"100,000 .. 200,000",319,0,225,0,1499,"14,99",1499,0,12,,
326950,326950,Sword of Asumi,Dharker Studio,Dharker Studios Ltd,,272,96,0,"50,000 .. 100,000",145,0,161,0,389,"12,99",1299,70,1,,
327000,327000,Infinite Game Works Episode 1,Sakura River Interactive,Sakura River Interactive,,1,4,0,"0 .. 20,000",0,0,0,0,799,"7,99",799,0,0,,
327410,327410,A Bird Story,Freebird Games,Freebird Games,,7475,1405,0,"200,000 .. 500,000",161,0,169,0,399,"3,99",399,0,6,,
328220,328220,Wild Season,Quickfire Games,Quickfire Games,,127,228,0,"0 .. 20,000",0,0,0,0,1699,"16,99",1699,0,0,,
328270,328270,Leviathan: The Last Day of the Decade,Lostwood,Lostwood,,515,121,0,"50,000 .. 100,000",137,0,250,0,1499,"14,99",1499,0,1,,
329480,329480,Snow Light,West Dragon Productions DR,OG-ZONE Digital Entertainment,,4,17,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0,,
330820,330820,2064: Read Only Memories,"MidBoss, LLC.","MidBoss, LLC.",,1197,308,0,"200,000 .. 500,000",334,0,338,0,999,"19,99",1999,50,6,,
330830,330830,Tales from the Borderlands,Telltale Games,2K,,15654,782,0,"200,000 .. 500,000",551,0,638,0,1999,"19,99",1999,0,26,,
