_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
255070,255070,Abyss Odyssey,ACE Team,SEGA,,2428,1517,911,0,"100,000 .. 200,000",323,0,373,0,1499,"14,99",1499,0,3,,
257120,257120,Not The Robots,2DArray,tinyBuild,,552,442,110,0,"100,000 .. 200,000",271,0,305,0,999,"9,99",999,0,0,,
259680,259680,Tales of Maj'Eyal,Netcore Games,Netcore Games,,5352,5114,238,0,"500,000 .. 1,000,000",252,0,265,0,699,"6,99",699,0,160,,
262060,262060,Darkest Dungeon,Red Hook Studios,Red Hook Studios,,112106,102184,9922,0,"2,000,000 .. 5,000,000",1926,269,544,218,2499,"24,99",2499,0,3085,,
262790,262790,Our Darker Purpose,Avidly Wild Games,Avidly Wild Games,,719,589,130,0,"50,000 .. 100,000",365,0,554,0,1499,"14,99",1499,0,2,,
262810,262810,Super Turbo Demon Busters!,HeroLabs,HeroLabs,,163,90,73,0,"0 .. 20,000",171,0,185,0,1199,"11,99",1199,0,0,,
263080,263080,Pixel Boy and the Ever Expanding Dungeon,Giant Box Games,Giant Box Games,,235,157,78,0,"20,000 .. 50,000",134,0,155,0,0,0,0,0,0,,
264140,264140,Pixel Piracy,Vitali Kirpu,,,6942,4433,2509,0,"100,000 .. 200,000",534,0,419,0,999,"9,99",999,0,11,,
264160,264160,WazHack,Waz,Waz Games,,652,578,74,0,"20,000 .. 50,000",753,0,990,0,999,"9,99",999,0,11,,
264280,264280,99 Levels To Hell,"Zaxis Games, B-evil",Zaxis Games,,586,361,225,0,"50,000 .. 100,000",270,0,463,0,499,"4,99",499,0,0,,
264690,264690,Coin Crypt,Greg Lobanov,Greg Lobanov,,583,506,77,0,"50,000 .. 100,000",301,0,446,0,999,"9,99",999,0,1,,
265000,265000,FORCED SHOWDOWN,BetaDwarf,BetaDwarf,,641,538,103,0,"50,000 .. 100,000",90,0,179,0,1999,"19,99",1999,0,3,,
265990,265990,Rogue's Tale,Epixx.org,Epixx.org,,587,419,168,0,"20,000 .. 50,000",131,0,131,0,699,"6,99",699,0,11,,
266110,266110,Tower of Guns,Terrible Posture Games,Versus Evil,,1128,909,219,0,"100,000 .. 200,000",233,0,292,0,1499,"14,99",1499,0,2,,
266210,266210,One Way Heroics,Smoking WOLF,PLAYISM,,3877,3654,223,0,"500,000 .. 1,000,000",284,0,276,0,349,"3,49",349,0,22,,
266510,266510,Hand of Fate,Defiant Development,Defiant Development,,10141,9135,1006,0,"500,000 .. 1,000,000",346,0,246,0,1999,"19,99",1999,0,18,,
268130,268130,Heat Signature,Suspicious Developments,Suspicious Developments,,6265,5941,324,0,"500,000 .. 1,000,000",470,0,414,0,1499,"14,99",1499,0,61,,
268750,268750,Magicite,SmashGames,SmashGames,,7385,6306,1079,0,"500,000 .. 1,000,000",787,0,691,0,999,"9,99",999,0,18,,
268930,268930,Malevolence: The Sword of Ahkranox,Visual Outbreak,Visual Outbreak,,88,61,27,0,"0 .. 20,000",0,0,0,0,2499,"24,99",2499,0,0,,
269210,269210,Hero Siege,"Elias Viglione, Jussi Kukkonen",Panic Art Studios,,32462,24549,7913,0,"1,000,000 .. 2,000,000",1040,1242,315,2173,699,"6,99",699,0,2122,,
269310,269310,Infectonator: Survivors,Toge Productions,Toge Productions,,915,617,298,0,"50,000 .. 100,000",354,0,500,0,999,"9,99",999,0,6,,
269490,269490,Bardbarian,TreeFortress Games,TreeFortress Games,,1455,1291,164,0,"100,000 .. 200,000",229,0,377,0,799,"7,99",799,0,4,,
269690,269690,RymdResa,Morgondag,Morgondag,,288,218,70,0,"50,000 .. 100,000",188,0,188,0,1199,"11,99",1199,0,0,,
269770,269770,Secrets of Grindea,Pixel Ferrets,Pixel Ferrets,,5719,5210,509,0,"200,000 .. 500,000",714,0,608,0,1499,"14,99",1499,0,32,,
274500,274500,Brigador: Up-Armored Edition,"Stellar Jockeys, Gausswerks",Stellar Jockeys,,4451,4227,224,0,"200,000 .. 500,000",228,0,197,0,1999,"19,99",1999,0,25,,
274520,274520,Darkwood,Acid Wizard Studio,Acid Wizard Studio,,12826,12137,689,0,"500,000 .. 1,000,000",497,0,286,0,449,"14,99",1499,70,192,,
277870,277870,Diehard Dungeon,Tricktale,Tricktale,,469,351,118,0,"50,000 .. 100,000",420,0,767,0,199,"1,99",199,0,0,,
278620,278620,TinyKeep,Phigames,Digital Tribe,,408,272,136,0,"50,000 .. 100,000",223,0,223,0,999,"9,99",999,0,0,,
278890,278890,Angvik,Alastair John Jack,Alastair John Jack,,2354,2067,287,0,"100,000 .. 200,000",180,0,211,0,299,"2,99",299,0,6,,
280040,280040,A Wizard's Lizard,Lost Decade Games,Lost Decade Games,,438,305,133,0,"50,000 .. 100,000",179,0,222,0,999,"9,99",999,0,1,,
283040,283040,Paper Dungeons,"Stephane Valverde, Leslie Valverde",Agent Mega,,84,44,40,0,"0 .. 20,000",260,0,275,0,999,"9,99",999,0,0,,
290890,290890,You Must Build A Boat,EightyEightGames,EightyEightGames,,967,802,165,0,"100,000 .. 200,000",1520,0,1494,0,499,"4,99",499,0,4,,
291190,291190,Heroes of Steel RPG,Trese Brothers,Trese Brothers,,251,197,54,0,"100,000 .. 200,000",336,0,597,0,999,"9,99",999,0,2,,
293240,293240,Cosmochoria,Nate Schmold,30/30,,458,411,47,0,"20,000 .. 50,000",321,0,393,0,999,"9,99",999,0,0,,
293740,293740,Road Not Taken,Spry Fox LLC,Spry Fox LLC,,326,269,57,0,"50,000 .. 100,000",198,0,199,0,1499,"14,99",1499,0,0,,
293780,293780,Crawl,Powerhoof,Powerhoof,,6011,5708,303,0,"500,000 .. 1,000,000",235,0,280,0,1499,"14,99",1499,0,35,,
294370,294370,Crowntakers,Bulwark Studios,Kasedo Games,,610,455,155,0,"50,000 .. 100,000",139,0,179,0,999,"9,99",999,0,5,,
295770,295770,Rogue Shooter: The FPS Roguelike,Hippomancer,Hippomancer,,359,268,91,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0,,
295870,295870,The Dungeoning,Nick Donnelly,Nick Donnelly,,72,51,21,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0,,
296010,296010,NeonXSZ,Intravenous Software,None - Independent,,102,82,20,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0,,
296710,296710,Monstrum,Team Junkfish,Junkfish Limited,,2716,2484,232,0,"200,000 .. 500,000",2535,0,254,0,1799,"17,99",1799,0,22,,
296930,296930,Ascendant,Hapa Games,Hapa Games,,202,158,44,0,"20,000 .. 50,000",208,0,331,0,0,0,0,0,0,,
296970,296970,Renowned Explorers: International Society,Abbey Games,Abbey Games,,2667,2460,207,0,"200,000 .. 500,000",628,0,437,0,1999,"19,99",1999,0,21,,
297120,297120,Heavy Bullets,"Terri Vellmann, Doseone",Devolver Digital,,1417,1164,253,0,"100,000 .. 200,000",73,0,79,0,999,"9,99",999,0,3,,
297210,297210,Famaze,Oryx Design Lab,Oryx Design Lab,,380,303,77,0,"100,000 .. 200,000",65,0,84,0,0,0,0,0,0,,
298560,298560,Captain Forever Remix,"Pixelsaurus Games, Future Crayon",Pixelsaurus Games,,360,292,68,0,"20,000 .. 50,000",582,0,596,0,999,"9,99",999,0,1,,
299480,299480,Rogue Stormers,Black Forest Games,"HandyGames, Black Forest Games",,952,655,297,0,"200,000 .. 500,000",143,0,136,0,1999,"19,99",1999,0,2,,
300380,300380,Road Redemption,"EQ-Games , Pixel Dash Studios",Tripwire Presents,,10298,8415,1883,0,"500,000 .. 1,000,000",180,0,173,0,1999,"19,99",1999,0,32,,
