_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
71340,71340,Sonic Generations Collection,Devil's Details,SEGA,18527,17217,1310,0,"1,000,000 .. 2,000,000",455,27,100,29,1999,1999,0,200,,,
211500,211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",17184,12497,4687,0,"2,000,000 .. 5,000,000",892,0,36,0,0,0,0,582,,,
378860,378860,Project CARS 2,Slightly Mad Studios,BANDAI NAMCO Entertainment,17046,13713,3333,0,"1,000,000 .. 2,000,000",1313,58,419,60,5999,5999,0,575,,,
493490,493490,City Car Driving,"Forward Development, Ltd.","Forward Global Group, Ltd.",16991,13852,3139,0,"500,000 .. 1,000,000",1931,36,479,39,2499,2499,0,691,,,
202170,202170,Sleeping Dogs,United Front Games,Square Enix,16663,15741,922,0,"2,000,000 .. 5,000,000",1361,0,539,0,0,0,0,36,,,
394690,394690,Tower Unite,PixelTail Games,PixelTail Games,16382,14740,1642,0,"500,000 .. 1,000,000",1583,150,773,228,1999,1999,0,455,,,
9200,9200,RAGE,id Software,Bethesda Softworks,15884,12223,3661,0,"1,000,000 .. 2,000,000",781,0,400,0,999,999,0,81,,,
1241100,1241100,POLYGON: Multiplayer Shooter,Redaster Studio,Redaster Studio,15799,11295,4504,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,440,,,
313340,313340,Mountain,David OReilly,David OReilly,15603,13794,1809,0,"500,000 .. 1,000,000",515,0,219,0,51,99,48,109,,,
241560,241560,The Crew,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,15123,10418,4705,0,"500,000 .. 1,000,000",2599,0,1689,0,2999,2999,0,39,,,
259080,259080,Just Cause 2: Multiplayer Mod,Avalanche Studios,Square Enix,15059,13814,1245,0,"2,000,000 .. 5,000,000",1197,0,162,0,0,0,0,30,,,
212480,212480,Sonic & All-Stars Racing Transformed Collection,Sumo Digital,SEGA,15009,14084,925,0,"500,000 .. 1,000,000",581,0,171,0,1999,1999,0,79,,,
421020,421020,DiRT 4,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts",14959,11893,3066,0,"500,000 .. 1,000,000",565,0,268,0,1499,1499,0,184,,,
213610,213610,Sonic Adventure 2,SEGA,SEGA,14646,12786,1860,0,"500,000 .. 1,000,000",862,41,236,41,999,999,0,331,,,
