_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu
1435610,1435610,Master of Miracles,Mudstorm Studio,Mudstorm Studio,,8,5,3,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1436650,1436650,Battle Star,Alioth,Alioth,,158,123,35,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,12
1440350,1440350,Staff Only,Exilland,Exilland,,20,19,1,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1440530,1440530,Good puzzle,Laush Dmitriy Sergeevich,Laush Studio,,15,15,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1441230,1441230,Tanto Cuore,"Japanime Digital, Wedontknow Games","Japanime Games, Arclight Inc",,144,135,9,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,7
1441430,1441430,Wordeous,Equitatus Studio,Junla Games,,19,18,1,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1445580,1445580,Good puzzle: Music,Laush Dmitriy Sergeevich,Laush Studio,,8,8,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1449070,1449070,Divinity Chronicles: Journey to the West,Z Studio,ParasGames,,493,399,94,0,"0 .. 20,000",8,0,8,0,1499,"14,99",1499,0,90
1450330,1450330,Concordia: Digital Edition,Acram Digital,Acram Digital,,90,81,9,0,"0 .. 20,000",0,0,0,0,1899,"18,99",1899,0,4
1451230,1451230,Blood of Titans,Sugar Games,Sugar Games,,52,28,24,0,"0 .. 20,000",0,0,0,0,0,0,0,0,6
1454090,1454090,Army of Numbers,maou,maou,,25,25,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1454520,1454520,MONOLISK,Trickster Arts,Trickster Arts,,402,319,83,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0,2
1455090,1455090,Good puzzle: Castles,Laush Dmitriy Sergeevich,Laush Studio,,11,11,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1455630,1455630,The Game of Life 2,Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,,1768,1377,391,0,"50,000 .. 100,000",135,0,179,0,999,"9,99",999,0,98
1455730,1455730,Mahjong Worlds,Yeti Ate My Breakfast,Yeti Ate My Breakfast,,1,1,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1461960,1461960,Baby Goat Billy,Studio 90,Studio 90,,26,24,2,0,"0 .. 20,000",0,0,0,0,1099,"10,99",1099,0,0
1465370,1465370,Detective notes. Lighthouse Mystery Solitaire,DigiMight,DigiMight,,6,5,1,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,1
1467200,1467200,Soliterix,IndigoWare,IndigoWare,,5,3,2,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1467380,1467380,Ancient Warriors Casino Jackpot,Boogygames Studios,Boogygames Studios,,4,1,3,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1470300,1470300,Paper Tales - Catch Up Games,"Sergio Matsumoto, Manon 'Stripes' Potier",DTDA Games,,4,2,2,0,"0 .. 20,000",0,0,0,0,299,"2,99",299,0,0
1471550,1471550,Variable,Kedexa,Kedexa,,2,1,1,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,0
1472060,1472060,Apollyon: River of Life,Thuynder,Thuynder,,6,6,0,0,"0 .. 20,000",0,0,0,0,1499,"14,99",1499,0,0
1474280,1474280,Last Kingdom - The Card Game,Black Phoenix Studio,Black Phoenix Studio,,8,7,1,0,"0 .. 20,000",0,0,0,0,899,"8,99",899,0,0
1475460,1475460,3 Minute Heroes,Sinkhole Studio,Sinkhole Studio,,189,169,20,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,3
1476870,1476870,Robo Gauntlet,KodakYarr,Infernal Interactive,,3,3,0,0,"0 .. 20,000",0,0,0,0,899,"8,99",899,0,0
1476950,1476950,Planetary Control!,Kerberos Productions,Kerberos Productions,,8,7,1,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1478070,1478070,Fights in Tight Spaces (Prologue),Ground Shatter,Mode 7,,790,751,39,0,"50,000 .. 100,000",85,0,130,0,0,0,0,0,5
1479840,1479840,Vidya Poker,coolnames,coolnames,,10,10,0,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,0
1480960,1480960,Godsbane,Project Hyperdrive,Project Hyperdrive,,104,89,15,0,"0 .. 20,000",0,0,0,0,0,0,0,0,4
1481630,1481630,Command Line Pilot,"Alexander Van den Bulck, Harry Lane","Alexander Van den Bulck, Harry Lane",,13,13,0,0,"20,000 .. 50,000",0,0,0,0,199,"1,99",199,0,0
1481940,1481940,Medium: The Psychic Party Game,"Unboxed Games LLC, Oh My Games",Unboxed Games LLC,,1,0,1,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1487990,1487990,Relax Memory Game,HotFoodGames,HotFoodGames,,6,2,4,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1488700,1488700,CABARET 4 CARD,Yareyare,Yareyare,,1,1,0,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1488740,1488740,The Best BJ,ZaxtorGameS,ZaxtorGameS,,10,9,1,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,2
1490490,1490490,Kingslayer: The First Assassin,Beyond Dark Tales,Beyond Dark Tales,,34,34,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1492870,1492870,堕星之乱,龙骨工作室,龙骨工作室,,21,14,7,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1493800,1493800,Aircraft Carrier Survival: Prologue,CreativeForge Games,CreativeForge Games,,1153,825,328,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0,4
1494780,1494780,Mage Mountain,Wonderbounce Games,Wonderbounce Games,,2,2,0,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1495100,1495100,Detective Solitaire: Inspector Magic And The Forbidden Magic,Somer Games,8floor,,2,2,0,0,"0 .. 20,000",238,0,238,0,499,"4,99",499,0,1
1495420,1495420,Dragon Creek,∇,∇,,114,98,16,0,"0 .. 20,000",0,0,0,0,1499,"14,99",1499,0,3
1496680,1496680,A Token War,UpRoom Games,UpRoom Games,,15,14,1,0,"0 .. 20,000",0,0,0,0,1299,"12,99",1299,0,0
1497600,1497600,Poker Squadrons,Purple Island,Purple Island LLC,,16,14,2,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,1
1498680,1498680,Poker Pretty Girls Battle : Fantasy World Edition,Zoo Corporation,Zoo Corporation,,11,5,6,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1499560,1499560,LastCloudia,AIDIS,Boltrend Games,,181,135,46,0,"100,000 .. 200,000",17116,0,32646,0,0,0,0,0,1405
1501360,1501360,开心扑克Happy Poker,Happy Poker,Happy Poker,,436,307,129,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,1
1502410,1502410,CLT,notagamestudio,notagamestudio,,13,10,3,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1503410,1503410,Children's Jigsaw Puzzles,Boogygames Studios,Boogygames Studios,,3,3,0,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1504320,1504320,GOC Royale,Game of Cards,Game of Cards,,4,4,0,0,"0 .. 20,000",0,0,0,0,1199,"11,99",1199,0,0
1506610,1506610,King's Cup: The online multiplayer drinking game,Lin Meyer,Lin Meyer,,18,17,1,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
