_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
233740,233740,Organ Trail: Director's Cut,The Men Who Wear Many Hats,The Men Who Wear Many Hats,,2806,2481,325,0,"200,000 .. 500,000",182,0,228,0,499,"4,99",499,0,8,,
233980,233980,UnEpic,@unepic_fran,@unepic_fran,,7451,6865,586,0,"500,000 .. 1,000,000",1164,0,286,0,1299,"12,99",1299,0,24,,
234190,234190,Receiver,Wolfire Games,Wolfire Games,,4023,3219,804,0,"500,000 .. 1,000,000",73,0,55,0,499,"4,99",499,0,2,,
234390,234390,Teleglitch: Die More Edition,Test3 Projects,Paradox Interactive,,2754,2343,411,0,"500,000 .. 1,000,000",142,0,85,0,1299,"12,99",1299,0,6,,
236450,236450,PAC-MAN Championship Edition DX+,"Mine Loader Software Co., Ltd.",BANDAI NAMCO Entertainment,,7115,6800,315,0,"200,000 .. 500,000",192,22,115,22,999,"9,99",999,0,12,,
237350,237350,Frozen Cortex,Mode 7,Mode 7,,268,191,77,0,"20,000 .. 50,000",255,0,207,0,2499,"24,99",2499,0,0,,
238280,238280,Legend of Dungeon,Robot Loves Kitty,SNK CORPORATION,,1579,1162,417,0,"200,000 .. 500,000",213,0,248,0,999,"9,99",999,0,2,,
238910,238910,Bionic Dues,"Arcen Games, LLC","Arcen Games, LLC",,962,720,242,0,"200,000 .. 500,000",241,0,211,0,999,"9,99",999,0,1,,
239070,239070,Hammerwatch,Crackshell,Crackshell,,6220,5589,631,0,"500,000 .. 1,000,000",336,0,205,0,999,"9,99",999,0,17,,
239350,239350,Spelunky,Mossmouth,Mossmouth,,14828,13684,1144,0,"1,000,000 .. 2,000,000",664,0,208,0,1499,"14,99",1499,0,124,,
240970,240970,Half Minute Hero: The Second Coming,Opus,Marvelous,,529,489,40,0,"50,000 .. 100,000",366,0,552,0,999,"9,99",999,0,1,,
241600,241600,Rogue Legacy,Cellar Door Games,Cellar Door Games,,17620,16424,1196,0,"1,000,000 .. 2,000,000",741,0,447,0,1499,"14,99",1499,0,94,,
241760,241760,Kill to Collect,Pieces Interactive,"HandyGames, Pieces Interactive",,261,181,80,0,"20,000 .. 50,000",159,0,159,0,999,"9,99",999,0,0,,
242680,242680,Nuclear Throne,Vlambeer,Vlambeer,,15769,15187,582,0,"500,000 .. 1,000,000",1499,0,423,0,1199,"11,99",1199,0,163,,
242880,242880,"Sir, You Are Being Hunted",Big Robot Ltd,Big Robot Ltd,,3800,2959,841,0,"500,000 .. 1,000,000",179,0,152,0,1999,"19,99",1999,0,4,,
243970,243970,"Invisible, Inc.",Klei Entertainment,Klei Entertainment,,5107,4692,415,0,"500,000 .. 1,000,000",374,0,161,0,1999,"19,99",1999,0,55,,
246110,246110,MASSIVE CHALICE,Double Fine Productions,Double Fine Productions,,1754,1268,486,0,"50,000 .. 100,000",155,0,171,0,1999,"19,99",1999,0,8,,
246840,246840,FATE,WildTangent,WildTangent,,2592,2451,141,0,"200,000 .. 500,000",408,0,543,0,799,"7,99",799,0,87,,
247080,247080,Crypt of the NecroDancer,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",,21455,20613,842,0,"2,000,000 .. 5,000,000",1077,43,253,82,1499,"14,99",1499,0,183,,
248820,248820,Risk of Rain,Hopoo Games,Chucklefish,,28310,26527,1783,0,"1,000,000 .. 2,000,000",958,0,249,0,999,"9,99",999,0,66,,
248860,248860,NEO Scavenger,Blue Bottle Games,Blue Bottle Games,,4647,4194,453,0,"500,000 .. 1,000,000",817,0,614,0,1499,"14,99",1499,0,40,,
249050,249050,Dungeon of the ENDLESS,AMPLITUDE Studios,SEGA,,11300,9909,1391,0,"500,000 .. 1,000,000",402,0,189,0,1199,"11,99",1199,0,89,,
249360,249360,Zafehouse: Diaries,Screwfly Studios,Screwfly Studios,,433,294,139,0,"50,000 .. 100,000",145,0,208,0,199,"1,99",199,0,1,,
249570,249570,The Castle Doctrine,Jason Rohrer,Jason Rohrer,,378,188,190,0,"20,000 .. 50,000",11,0,11,0,399,"3,99",399,0,0,,
249630,249630,Delver,"Chad Cuddigan, Joshua Skelton",Priority Interrupt,,2639,2302,337,0,"200,000 .. 500,000",175,0,212,0,1499,"14,99",1499,0,8,,
250500,250500,Super Amazing Wagon Adventure,sparsevector,sparsevector,,1886,1796,90,0,"100,000 .. 200,000",84,0,136,0,299,"2,99",299,0,2,,
250580,250580,Paranautical Activity: Deluxe Atonement Edition,Digerati Distribution,Digerati,,1417,968,449,0,"100,000 .. 200,000",236,0,295,0,999,"9,99",999,0,2,,
250680,250680,BELOW,Capybara Games,Capybara Games,,1071,752,319,0,"50,000 .. 100,000",0,0,0,0,2499,"24,99",2499,0,1,,
250760,250760,Shovel Knight: Treasure Trove,Yacht Club Games,Yacht Club Games,,14109,13600,509,0,"500,000 .. 1,000,000",969,206,354,206,3999,"39,99",3999,0,72,,
250900,250900,The Binding of Isaac: Rebirth,"Nicalis, Inc., Edmund McMillen","Nicalis, Inc.",,201860,197241,4619,0,"5,000,000 .. 10,000,000",8937,364,3017,168,1499,"14,99",1499,0,15212,,
251590,251590,Soul Saga,Disastercake,Disastercake,,49,14,35,0,"0 .. 20,000",0,0,0,0,1499,"14,99",1499,0,0,,
